#OTU ID	S11	S13	S17	S19	S1	S23	S25	S29	S2	S31	S35	S37	S39	S41	S45	S47	S51	S55	S57	S5	S7
Otu848	3	0	0	0	1	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Otu97	16	70	23	29	2	3	1	1	0	3	2	0	0	3	8	20	13	29	17	9	19
Otu208	1	3	0	2	1	0	0	2	0	11	0	5	0	0	1	8	1	10	33	5	12
Otu2174	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Otu400	3	13	4	3	1	2	4	4	1	8	0	2	11	0	4	1	4	1	0	3	4
Otu1136	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
Otu1231	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1988	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu1726	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	1	0	3	0
Otu1994	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
Otu621	3	6	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0
Otu1199	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
Otu1981	4	0	0	0	0	136	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu170	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	35	16	13	23
Otu1849	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu201	1	0	2	0	0	0	3	0	0	0	0	0	0	0	4	0	0	20	4	35	70
Otu836	1	5	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu1355	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1
Otu1030	1	0	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0
Otu1879	2	6	0	0	0	3	0	0	0	6	0	3	0	0	0	0	0	0	0	24	18
Otu278	1	0	0	0	0	0	0	0	0	0	0	0	16	4	1	0	0	0	0	35	12
Otu735	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Otu449	1	12	9	3	2	1	3	3	0	7	1	7	8	3	0	6	2	4	1	1	5
Otu1651	2	2	0	0	1	0	0	0	0	1	0	3	1	3	0	1	0	2	0	0	6
Otu2076	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1592	3	7	36	43	0	3	4	1	0	3	0	4	17	30	19	9	0	0	1	5	14
Otu1123	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	3	1
Otu183	2	4	3	3	0	0	5	0	0	1	0	0	1	7	12	106	2	9	0	4	2
Otu1149	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0
Otu90	5	83	4	0	2	33	116	2	0	0	0	0	19	10	1	0	2	9	0	10	17
Otu473	4	1	0	2	7	0	6	3	0	0	2	6	6	0	1	4	8	5	9	0	3
Otu936	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	9	0	0	0	0	0
Otu484	5	11	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu292	4	12	2	4	5	1	1	2	0	1	2	0	0	1	1	3	4	6	4	2	15
Otu586	1	2	0	1	0	0	0	0	0	4	0	1	1	2	0	1	0	1	3	1	1
Otu1544	1	1	0	0	2	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0
Otu385	1	0	4	2	0	0	0	0	0	3	1	0	7	5	0	4	0	0	1	1	0
Otu122	9	48	50	18	29	18	12	23	0	44	9	13	58	13	22	24	13	37	11	43	20
Otu173	1	8	0	0	0	0	0	0	0	33	0	26	0	0	0	1	6	1	0	2	9
Otu900	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu108	1	1	1	1	109	0	4	0	3	4	0	6	0	4	19	9	2	7	4	12	22
Otu898	1	1	3	3	0	0	0	0	0	3	0	0	4	4	0	0	1	0	0	4	4
Otu255	4	2	5	7	0	6	5	0	0	9	10	1	0	0	3	2	2	1	0	6	18
Otu71	4	7	0	0	0	12	245	2	0	6	1	12	0	4	5	12	2	5	0	2	11
Otu904	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	1	0	0
Otu1346	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu178	1	0	5	2	0	2	7	0	0	0	0	0	8	15	9	2	0	0	0	21	19
Otu462	1	2	0	0	1	2	2	2	0	5	0	1	2	6	11	5	7	4	2	5	5
Otu104	3	0	0	0	0	49	63	0	0	0	0	0	0	0	0	0	0	76	4	26	27
Otu548	1	8	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	2	0	0	0
Otu147	2	6	0	1	1	2	8	1	0	9	0	1	42	32	6	22	13	6	3	9	5
Otu350	1	0	0	2	2	1	1	1	0	0	0	5	1	9	1	2	11	12	9	0	6
Otu1034	6	0	3	0	2	0	0	0	0	0	0	5	0	1	2	7	0	0	0	2	0
Otu1452	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu589	1	3	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	1	0	0
Otu553	1	0	0	4	0	2	0	1	0	0	0	0	0	6	0	0	1	2	1	0	4
Otu232	2	13	0	0	0	19	7	3	0	4	0	0	2	15	0	3	0	2	3	0	8
Otu2008	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu186	5	9	2	6	1	11	10	1	1	6	2	1	7	7	5	5	6	16	2	68	33
Otu272	2	0	0	0	0	14	15	0	0	0	0	0	0	0	5	2	0	1	0	0	0
Otu1398	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3
Otu448	2	5	4	3	2	2	2	0	0	0	0	0	0	1	4	4	1	4	1	1	4
Otu1718	2	1	0	0	0	1	2	1	0	2	0	1	0	0	0	4	1	4	0	1	1
Otu2095	1	0	0	3	0	6	2	2	0	1	0	0	7	9	1	0	3	3	0	3	0
Otu193	2	23	15	2	1	4	4	8	2	7	1	5	12	1	9	3	3	7	2	2	12
Otu1124	1	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	1	2	0	4	2
